"Graves Creek at Highway12", 76HB 02800
Timestamp,Discharge.discharge@76HB 02800 (ft^3/s),Approval Name
2016-06-01 13:59,7.017,Approved
2016-06-01 14:29,6.992,Approved
2016-06-01 14:59,6.942,Approved
2016-06-01 15:29,6.942,Approved
2016-06-01 15:59,6.887,Approved
2016-06-01 16:29,6.875,Approved
2016-06-01 16:59,6.858,Approved
2016-06-01 17:29,6.807,Approved
2016-06-01 17:59,6.759,Approved
2016-06-01 18:29,6.738,Approved
2016-06-01 18:59,6.699,Approved
2016-06-01 19:29,6.686,Approved
2016-06-01 19:59,6.690,Approved
2016-06-01 20:29,6.637,Approved
2016-06-01 20:59,6.615,Approved
2016-06-01 21:29,6.620,Approved
2016-06-01 21:59,6.655,Approved
2016-06-01 22:29,6.575,Approved
2016-06-01 22:59,6.606,Approved
2016-06-01 23:29,6.633,Approved
2016-06-01 23:59,6.637,Approved
2016-06-02 00:29,6.642,Approved
2016-06-02 00:59,6.624,Approved
2016-06-02 01:29,6.651,Approved
2016-06-02 01:59,6.694,Approved
2016-06-02 02:29,6.677,Approved
2016-06-02 02:59,6.720,Approved
2016-06-02 03:29,6.699,Approved
2016-06-02 03:59,6.699,Approved
2016-06-02 04:29,6.681,Approved
2016-06-02 04:59,6.733,Approved
2016-06-02 05:29,6.733,Approved
2016-06-02 05:59,6.755,Approved
2016-06-02 06:29,6.755,Approved
2016-06-02 06:59,6.751,Approved
2016-06-02 07:29,6.742,Approved
2016-06-02 07:59,6.755,Approved
2016-06-02 08:29,6.785,Approved
2016-06-02 08:59,6.755,Approved
2016-06-02 09:29,6.553,Approved
2016-06-02 09:59,6.637,Approved
2016-06-02 10:29,6.858,Approved
2016-06-02 10:59,6.798,Approved
2016-06-02 11:29,6.566,Approved
2016-06-02 11:59,6.629,Approved
2016-06-02 12:29,6.785,Approved
2016-06-02 12:59,6.746,Approved
2016-06-02 13:29,6.764,Approved
2016-06-02 13:59,6.707,Approved
2016-06-02 14:29,6.445,Approved
2016-06-02 14:59,6.620,Approved
2016-06-02 15:29,6.624,Approved
2016-06-02 15:59,6.584,Approved
2016-06-02 16:29,6.571,Approved
2016-06-02 16:59,6.526,Approved
2016-06-02 17:29,6.522,Approved
2016-06-02 17:59,6.504,Approved
2016-06-02 18:29,6.495,Approved
2016-06-02 18:59,6.499,Approved
2016-06-02 19:29,6.504,Approved
2016-06-02 19:59,6.477,Approved
2016-06-02 20:29,6.481,Approved
2016-06-02 20:59,6.468,Approved
2016-06-02 21:29,6.517,Approved
2016-06-02 21:59,6.481,Approved
2016-06-02 22:29,6.490,Approved
2016-06-02 22:59,6.517,Approved
2016-06-02 23:29,6.495,Approved
2016-06-02 23:59,6.540,Approved
2016-06-03 00:29,6.544,Approved
2016-06-03 00:59,6.549,Approved
2016-06-03 01:29,6.535,Approved
2016-06-03 01:59,6.544,Approved
2016-06-03 02:29,6.553,Approved
2016-06-03 02:59,6.535,Approved
2016-06-03 03:29,6.535,Approved
2016-06-03 03:59,6.562,Approved
2016-06-03 04:29,6.562,Approved
2016-06-03 04:59,6.562,Approved
2016-06-03 05:29,6.584,Approved
2016-06-03 05:59,6.562,Approved
2016-06-03 06:29,6.562,Approved
2016-06-03 06:59,6.575,Approved
2016-06-03 07:29,6.584,Approved
2016-06-03 07:59,6.598,Approved
2016-06-03 08:29,6.620,Approved
2016-06-03 08:59,6.620,Approved
2016-06-03 09:29,6.681,Approved
2016-06-03 09:59,6.673,Approved
2016-06-03 10:29,6.659,Approved
2016-06-03 10:59,6.664,Approved
2016-06-03 11:29,6.659,Approved
2016-06-03 11:59,6.646,Approved
2016-06-03 12:29,6.611,Approved
2016-06-03 12:59,6.593,Approved
2016-06-03 13:29,6.571,Approved
2016-06-03 13:59,6.526,Approved
2016-06-03 14:29,6.517,Approved
2016-06-03 14:59,6.490,Approved
2016-06-03 15:29,6.431,Approved
2016-06-03 15:59,6.449,Approved
2016-06-03 16:29,6.422,Approved
2016-06-03 16:59,6.417,Approved
2016-06-03 17:29,6.344,Approved
2016-06-03 17:59,6.283,Approved
2016-06-03 18:29,6.217,Approved
2016-06-03 18:59,6.184,Approved
2016-06-03 19:29,6.184,Approved
2016-06-03 19:59,6.193,Approved
2016-06-03 20:29,6.136,Approved
2016-06-03 20:59,6.092,Approved
2016-06-03 21:29,6.082,Approved
2016-06-03 21:59,6.053,Approved
2016-06-03 22:29,6.063,Approved
2016-06-03 22:59,6.073,Approved
2016-06-03 23:29,6.078,Approved
2016-06-03 23:59,6.058,Approved
2016-06-04 00:29,6.087,Approved
2016-06-04 00:59,6.092,Approved
2016-06-04 01:29,6.121,Approved
2016-06-04 01:59,6.126,Approved
2016-06-04 02:29,6.150,Approved
2016-06-04 02:59,6.155,Approved
2016-06-04 03:29,6.155,Approved
2016-06-04 03:59,6.184,Approved
2016-06-04 04:29,6.184,Approved
2016-06-04 04:59,6.184,Approved
2016-06-04 05:29,6.212,Approved
2016-06-04 05:59,6.212,Approved
2016-06-04 06:29,6.193,Approved
2016-06-04 06:59,6.212,Approved
2016-06-04 07:29,6.236,Approved
2016-06-04 07:59,6.250,Approved
2016-06-04 08:29,6.250,Approved
2016-06-04 08:59,6.320,Approved
2016-06-04 09:29,6.362,Approved
2016-06-04 09:59,6.413,Approved
2016-06-04 10:29,6.390,Approved
2016-06-04 10:59,6.413,Approved
2016-06-04 11:29,6.413,Approved
2016-06-04 11:59,6.404,Approved
2016-06-04 12:29,6.376,Approved
2016-06-04 12:59,6.353,Approved
2016-06-04 13:29,6.353,Approved
2016-06-04 13:59,6.320,Approved
2016-06-04 14:29,6.311,Approved
2016-06-04 14:59,6.274,Approved
2016-06-04 15:29,6.245,Approved
2016-06-04 15:59,6.260,Approved
2016-06-04 16:29,6.236,Approved
2016-06-04 16:59,6.198,Approved
2016-06-04 17:29,6.150,Approved
2016-06-04 17:59,6.029,Approved
2016-06-04 18:29,5.974,Approved
2016-06-04 18:59,5.944,Approved
2016-06-04 19:29,5.899,Approved
2016-06-04 19:59,5.904,Approved
2016-06-04 20:29,5.823,Approved
2016-06-04 20:59,5.777,Approved
2016-06-04 21:29,5.751,Approved
2016-06-04 21:59,5.761,Approved
2016-06-04 22:29,5.772,Approved
2016-06-04 22:59,5.756,Approved
2016-06-04 23:29,5.792,Approved
2016-06-04 23:59,5.797,Approved
2016-06-05 00:29,5.803,Approved
2016-06-05 00:59,5.808,Approved
2016-06-05 01:29,5.838,Approved
2016-06-05 01:59,5.869,Approved
2016-06-05 02:29,5.869,Approved
2016-06-05 02:59,5.874,Approved
2016-06-05 03:29,5.929,Approved
2016-06-05 03:59,5.929,Approved
2016-06-05 04:29,5.934,Approved
2016-06-05 04:59,5.959,Approved
2016-06-05 05:29,5.964,Approved
2016-06-05 05:59,5.989,Approved
2016-06-05 06:29,5.994,Approved
2016-06-05 06:59,5.989,Approved
2016-06-05 07:29,6.014,Approved
2016-06-05 07:59,6.004,Approved
2016-06-05 08:29,6.029,Approved
2016-06-05 08:59,6.102,Approved
2016-06-05 09:29,6.145,Approved
2016-06-05 09:59,6.160,Approved
2016-06-05 10:29,6.174,Approved
2016-06-05 10:59,6.179,Approved
2016-06-05 11:29,6.198,Approved
2016-06-05 11:59,6.174,Approved
2016-06-05 12:29,6.174,Approved
2016-06-05 12:59,6.150,Approved
2016-06-05 13:29,6.116,Approved
2016-06-05 13:59,6.068,Approved
2016-06-05 14:29,6.029,Approved
2016-06-05 14:59,5.994,Approved
2016-06-05 15:29,5.969,Approved
2016-06-05 15:59,5.969,Approved
2016-06-05 16:29,5.939,Approved
2016-06-05 16:59,5.889,Approved
2016-06-05 17:29,5.808,Approved
2016-06-05 17:59,5.699,Approved
2016-06-05 18:29,5.646,Approved
2016-06-05 18:59,5.609,Approved
2016-06-05 19:29,5.620,Approved
2016-06-05 19:59,5.577,Approved
2016-06-05 20:29,5.435,Approved
2016-06-05 20:59,5.418,Approved
2016-06-05 21:29,5.390,Approved
2016-06-05 21:59,5.385,Approved
2016-06-05 22:29,5.390,Approved
2016-06-05 22:59,5.402,Approved
2016-06-05 23:29,5.413,Approved
2016-06-05 23:59,5.451,Approved
2016-06-06 00:29,5.457,Approved
2016-06-06 00:59,5.490,Approved
2016-06-06 01:29,5.495,Approved
2016-06-06 01:59,5.528,Approved
2016-06-06 02:29,5.555,Approved
2016-06-06 02:59,5.534,Approved
2016-06-06 03:29,5.534,Approved
2016-06-06 03:59,5.593,Approved
2016-06-06 04:29,5.620,Approved
2016-06-06 04:59,5.646,Approved
2016-06-06 05:29,5.646,Approved
2016-06-06 05:59,5.646,Approved
2016-06-06 06:29,5.646,Approved
2016-06-06 06:59,5.673,Approved
2016-06-06 07:29,5.667,Approved
2016-06-06 07:59,5.683,Approved
2016-06-06 08:29,5.730,Approved
2016-06-06 08:59,5.787,Approved
2016-06-06 09:29,5.894,Approved
2016-06-06 09:59,5.899,Approved
2016-06-06 10:29,5.899,Approved
2016-06-06 10:59,5.899,Approved
2016-06-06 11:29,5.889,Approved
2016-06-06 11:59,5.919,Approved
2016-06-06 12:29,5.869,Approved
2016-06-06 12:59,5.844,Approved
2016-06-06 13:29,5.787,Approved
2016-06-06 13:59,5.751,Approved
2016-06-06 14:29,5.715,Approved
2016-06-06 14:59,5.704,Approved
2016-06-06 15:29,5.667,Approved
2016-06-06 15:59,5.657,Approved
2016-06-06 16:29,5.635,Approved
2016-06-06 16:59,5.609,Approved
2016-06-06 17:29,5.506,Approved
2016-06-06 17:59,5.345,Approved
2016-06-06 18:29,5.260,Approved
2016-06-06 18:59,5.214,Approved
2016-06-06 19:29,5.144,Approved
2016-06-06 19:59,5.126,Approved
2016-06-06 20:29,5.108,Approved
2016-06-06 20:59,5.120,Approved
2016-06-06 21:29,5.132,Approved
2016-06-06 21:59,5.138,Approved
2016-06-06 22:29,5.173,Approved
2016-06-06 22:59,5.225,Approved
2016-06-06 23:29,5.249,Approved
2016-06-06 23:59,5.260,Approved
2016-06-07 00:29,5.306,Approved
2016-06-07 00:59,5.317,Approved
2016-06-07 01:29,5.300,Approved
2016-06-07 01:59,5.334,Approved
2016-06-07 02:29,5.340,Approved
2016-06-07 02:59,5.402,Approved
2016-06-07 03:29,5.407,Approved
2016-06-07 03:59,5.440,Approved
2016-06-07 04:29,5.418,Approved
2016-06-07 04:59,5.451,Approved
2016-06-07 05:29,5.457,Approved
2016-06-07 05:59,5.429,Approved
2016-06-07 06:29,5.457,Approved
2016-06-07 06:59,5.484,Approved
2016-06-07 07:29,5.506,Approved
2016-06-07 07:59,5.523,Approved
2016-06-07 08:29,5.539,Approved
2016-06-07 08:59,5.604,Approved
2016-06-07 09:29,5.630,Approved
2016-06-07 09:59,5.662,Approved
2016-06-07 10:29,5.699,Approved
2016-06-07 10:59,5.667,Approved
2016-06-07 11:29,5.598,Approved
2016-06-07 11:59,5.787,Approved
2016-06-07 12:29,5.662,Approved
2016-06-07 12:59,5.688,Approved
2016-06-07 13:29,5.828,Approved
2016-06-07 13:59,6.078,Approved
2016-06-07 14:29,6.302,Approved
2016-06-07 14:59,6.845,Approved
2016-06-07 15:29,7.347,Approved
2016-06-07 15:59,7.845,Approved
2016-06-07 16:29,7.604,Approved
2016-06-07 16:59,7.429,Approved
2016-06-07 17:29,7.200,Approved
2016-06-07 17:59,6.963,Approved
2016-06-07 18:29,6.790,Approved
2016-06-07 18:59,6.694,Approved
2016-06-07 19:29,6.615,Approved
2016-06-07 19:59,6.531,Approved
2016-06-07 20:29,6.431,Approved
2016-06-07 20:59,6.316,Approved
2016-06-07 21:29,6.236,Approved
2016-06-07 21:59,6.155,Approved
2016-06-07 22:29,6.092,Approved
2016-06-07 22:59,6.048,Approved
2016-06-07 23:29,5.979,Approved
2016-06-07 23:59,5.939,Approved
2016-06-08 00:29,5.944,Approved
2016-06-08 00:59,5.899,Approved
2016-06-08 01:29,5.874,Approved
2016-06-08 01:59,5.879,Approved
2016-06-08 02:29,5.859,Approved
2016-06-08 02:59,5.838,Approved
2016-06-08 03:29,5.838,Approved
2016-06-08 03:59,5.833,Approved
2016-06-08 04:29,5.838,Approved
2016-06-08 04:59,5.813,Approved
2016-06-08 05:29,5.833,Approved
2016-06-08 05:59,5.808,Approved
2016-06-08 06:29,5.813,Approved
2016-06-08 06:59,5.813,Approved
2016-06-08 07:29,5.823,Approved
2016-06-08 07:59,5.813,Approved
2016-06-08 08:29,5.813,Approved
2016-06-08 08:59,5.854,Approved
2016-06-08 09:29,5.924,Approved
2016-06-08 09:59,5.954,Approved
2016-06-08 10:29,5.969,Approved
2016-06-08 10:59,5.929,Approved
2016-06-08 11:29,6.087,Approved
2016-06-08 11:59,5.984,Approved
2016-06-08 12:29,5.974,Approved
2016-06-08 12:59,5.929,Approved
2016-06-08 13:29,5.884,Approved
2016-06-08 13:59,5.828,Approved
2016-06-08 14:29,5.767,Approved
2016-06-08 14:59,5.678,Approved
2016-06-08 15:29,5.630,Approved
2016-06-08 15:59,5.630,Approved
2016-06-08 16:29,5.577,Approved
2016-06-08 16:59,5.544,Approved
2016-06-08 17:29,5.484,Approved
2016-06-08 17:59,5.340,Approved
2016-06-08 18:29,5.225,Approved
2016-06-08 18:59,5.161,Approved
2016-06-08 19:29,5.144,Approved
2016-06-08 19:59,5.150,Approved
2016-06-08 20:29,5.237,Approved
2016-06-08 20:59,5.289,Approved
2016-06-08 21:29,5.202,Approved
2016-06-08 21:59,5.012,Approved
2016-06-08 22:29,4.988,Approved
2016-06-08 22:59,4.994,Approved
2016-06-08 23:29,5.006,Approved
2016-06-08 23:59,5.036,Approved
2016-06-09 00:29,5.060,Approved
2016-06-09 00:59,5.078,Approved
2016-06-09 01:29,5.120,Approved
2016-06-09 01:59,5.191,Approved
2016-06-09 02:29,5.225,Approved
2016-06-09 02:59,5.277,Approved
2016-06-09 03:29,5.272,Approved
2016-06-09 03:59,5.300,Approved
2016-06-09 04:29,5.334,Approved
2016-06-09 04:59,5.362,Approved
2016-06-09 05:29,5.334,Approved
2016-06-09 05:59,5.362,Approved
2016-06-09 06:29,5.357,Approved
2016-06-09 06:59,5.413,Approved
2016-06-09 07:29,5.413,Approved
2016-06-09 07:59,5.429,Approved
2016-06-09 08:29,5.435,Approved
2016-06-09 08:59,5.457,Approved
2016-06-09 09:29,5.484,Approved
2016-06-09 09:59,5.495,Approved
2016-06-09 10:29,5.495,Approved
2016-06-09 10:59,5.641,Approved
2016-06-09 11:29,5.751,Approved
2016-06-09 11:59,5.523,Approved
2016-06-09 12:29,5.484,Approved
2016-06-09 12:59,5.457,Approved
2016-06-09 13:29,5.604,Approved
2016-06-09 13:59,5.641,Approved
2016-06-09 14:29,5.604,Approved
2016-06-09 14:59,5.539,Approved
2016-06-09 15:29,5.534,Approved
2016-06-09 15:59,5.501,Approved
2016-06-09 16:29,5.429,Approved
2016-06-09 16:59,5.351,Approved
2016-06-09 17:29,5.283,Approved
2016-06-09 17:59,5.237,Approved
2016-06-09 18:29,5.138,Approved
2016-06-09 18:59,5.036,Approved
2016-06-09 19:29,4.988,Approved
2016-06-09 19:59,4.963,Approved
2016-06-09 20:29,4.901,Approved
2016-06-09 20:59,4.882,Approved
2016-06-09 21:29,4.845,Approved
2016-06-09 21:59,4.826,Approved
2016-06-09 22:29,4.838,Approved
2016-06-09 22:59,4.813,Approved
2016-06-09 23:29,4.794,Approved
2016-06-09 23:59,4.807,Approved
2016-06-10 00:29,4.845,Approved
2016-06-10 00:59,4.819,Approved
2016-06-10 01:29,4.889,Approved
2016-06-10 01:59,4.857,Approved
2016-06-10 02:29,4.914,Approved
2016-06-10 02:59,4.914,Approved
2016-06-10 03:29,4.914,Approved
2016-06-10 03:59,4.951,Approved
2016-06-10 04:29,4.988,Approved
2016-06-10 04:59,4.988,Approved
2016-06-10 05:29,5.024,Approved
2016-06-10 05:59,5.054,Approved
2016-06-10 06:29,5.048,Approved
2016-06-10 06:59,5.072,Approved
2016-06-10 07:29,5.096,Approved
2016-06-10 07:59,5.114,Approved
2016-06-10 08:29,5.108,Approved
2016-06-10 08:59,5.161,Approved
2016-06-10 09:29,5.277,Approved
2016-06-10 09:59,5.440,Approved
2016-06-10 10:29,5.407,Approved
2016-06-10 10:59,5.402,Approved
2016-06-10 11:29,5.374,Approved
2016-06-10 11:59,5.357,Approved
2016-06-10 12:29,5.334,Approved
2016-06-10 12:59,5.306,Approved
2016-06-10 13:29,5.254,Approved
2016-06-10 13:59,5.231,Approved
2016-06-10 14:29,5.254,Approved
2016-06-10 14:59,5.202,Approved
2016-06-10 15:29,5.036,Approved
2016-06-10 15:59,5.006,Approved
2016-06-10 16:29,5.000,Approved
2016-06-10 16:59,4.932,Approved
2016-06-10 17:29,4.800,Approved
2016-06-10 17:59,4.723,Approved
2016-06-10 18:29,4.671,Approved
2016-06-10 18:59,4.657,Approved
2016-06-10 19:29,4.618,Approved
2016-06-10 19:59,4.598,Approved
2016-06-10 20:29,4.550,Approved
2016-06-10 20:59,4.503,Approved
2016-06-10 21:29,4.516,Approved
2016-06-10 21:59,4.523,Approved
2016-06-10 22:29,4.509,Approved
2016-06-10 22:59,4.516,Approved
2016-06-10 23:29,4.564,Approved
2016-06-10 23:59,4.577,Approved
2016-06-11 00:29,4.717,Approved
2016-06-11 00:59,4.749,Approved
2016-06-11 01:29,4.845,Approved
2016-06-11 01:59,4.882,Approved
2016-06-11 02:29,4.945,Approved
2016-06-11 02:59,4.975,Approved
2016-06-11 03:29,5.006,Approved
2016-06-11 03:59,5.000,Approved
2016-06-11 04:29,5.036,Approved
2016-06-11 04:59,5.078,Approved
2016-06-11 05:29,5.090,Approved
2016-06-11 05:59,5.072,Approved
2016-06-11 06:29,5.108,Approved
2016-06-11 06:59,5.132,Approved
2016-06-11 07:29,5.150,Approved
2016-06-11 07:59,5.138,Approved
2016-06-11 08:29,5.108,Approved
2016-06-11 08:59,5.132,Approved
2016-06-11 09:29,5.150,Approved
2016-06-11 09:59,5.150,Approved
2016-06-11 10:29,5.150,Approved
2016-06-11 10:59,5.161,Approved
2016-06-11 11:29,5.150,Approved
2016-06-11 11:59,5.150,Approved
2016-06-11 12:29,5.155,Approved
2016-06-11 12:59,5.185,Approved
2016-06-11 13:29,5.161,Approved
2016-06-11 13:59,5.150,Approved
2016-06-11 14:29,5.108,Approved
2016-06-11 14:59,5.161,Approved
2016-06-11 15:29,5.096,Approved
2016-06-11 15:59,5.054,Approved
2016-06-11 16:29,5.018,Approved
2016-06-11 16:59,5.006,Approved
2016-06-11 17:29,4.932,Approved
2016-06-11 17:59,4.749,Approved
2016-06-11 18:29,4.671,Approved
2016-06-11 18:59,4.530,Approved
2016-06-11 19:29,4.503,Approved
2016-06-11 19:59,4.509,Approved
2016-06-11 20:29,4.503,Approved
2016-06-11 20:59,4.489,Approved
2016-06-11 21:29,4.482,Approved
2016-06-11 21:59,4.468,Approved
2016-06-11 22:29,4.447,Approved
2016-06-11 22:59,4.419,Approved
2016-06-11 23:29,4.468,Approved
2016-06-11 23:59,4.447,Approved
2016-06-12 00:29,4.426,Approved
2016-06-12 00:59,4.433,Approved
2016-06-12 01:29,4.440,Approved
2016-06-12 01:59,4.447,Approved
2016-06-12 02:29,4.454,Approved
2016-06-12 02:59,4.523,Approved
2016-06-12 03:29,4.523,Approved
2016-06-12 03:59,4.591,Approved
2016-06-12 04:29,4.598,Approved
2016-06-12 04:59,4.638,Approved
2016-06-12 05:29,4.631,Approved
2016-06-12 05:59,4.638,Approved
2016-06-12 06:29,4.671,Approved
2016-06-12 06:59,4.671,Approved
2016-06-12 07:29,4.697,Approved
2016-06-12 07:59,4.684,Approved
2016-06-12 08:29,4.703,Approved
2016-06-12 08:59,4.717,Approved
2016-06-12 09:29,4.800,Approved
2016-06-12 09:59,4.864,Approved
2016-06-12 10:29,4.914,Approved
2016-06-12 10:59,4.957,Approved
2016-06-12 11:29,4.951,Approved
2016-06-12 11:59,4.963,Approved
2016-06-12 12:29,4.945,Approved
2016-06-12 12:59,4.901,Approved
2016-06-12 13:29,4.920,Approved
2016-06-12 13:59,4.938,Approved
2016-06-12 14:29,4.926,Approved
2016-06-12 14:59,4.870,Approved
2016-06-12 15:29,4.826,Approved
2016-06-12 15:59,4.755,Approved
2016-06-12 16:29,4.742,Approved
2016-06-12 16:59,4.794,Approved
2016-06-12 17:29,4.742,Approved
2016-06-12 17:59,4.644,Approved
2016-06-12 18:29,4.577,Approved
2016-06-12 18:59,4.523,Approved
2016-06-12 19:29,4.461,Approved
2016-06-12 19:59,4.433,Approved
2016-06-12 20:29,4.313,Approved
2016-06-12 20:59,4.247,Approved
2016-06-12 21:29,4.210,Approved
2016-06-12 21:59,4.165,Approved
2016-06-12 22:29,4.180,Approved
2016-06-12 22:59,4.158,Approved
2016-06-12 23:29,4.173,Approved
2016-06-12 23:59,4.112,Approved
