"Lolo Creek below Bear Creek", 76HB 03000
Timestamp,Discharge.discharge@76HB 03000 (ft^3/s),Approval Name
2016-06-01 15:00,117.7,Approved
2016-06-01 15:30,116.1,Approved
2016-06-01 16:00,116.6,Approved
2016-06-01 16:30,114.8,Approved
2016-06-01 17:00,116.2,Approved
2016-06-01 17:30,114.4,Approved
2016-06-01 18:00,118.7,Approved
2016-06-01 18:30,115.4,Approved
2016-06-01 19:00,113.1,Approved
2016-06-01 19:30,116.7,Approved
2016-06-01 20:00,116.0,Approved
2016-06-01 20:30,115.6,Approved
2016-06-01 21:00,113.3,Approved
2016-06-01 21:30,117.0,Approved
2016-06-01 22:00,117.7,Approved
2016-06-01 22:30,114.3,Approved
2016-06-01 23:00,113.9,Approved
2016-06-01 23:30,113.4,Approved
2016-06-02 00:00,111.1,Approved
2016-06-02 00:30,112.6,Approved
2016-06-02 01:00,115.9,Approved
2016-06-02 01:30,113.0,Approved
2016-06-02 02:00,112.4,Approved
2016-06-02 02:30,115.8,Approved
2016-06-02 03:00,115.6,Approved
2016-06-02 03:30,114.6,Approved
2016-06-02 04:00,115.4,Approved
2016-06-02 04:30,114.9,Approved
2016-06-02 05:00,116.4,Approved
2016-06-02 05:30,113.8,Approved
2016-06-02 06:00,112.6,Approved
2016-06-02 06:30,113.5,Approved
2016-06-02 07:00,113.9,Approved
2016-06-02 07:30,113.3,Approved
2016-06-02 08:00,116.3,Approved
2016-06-02 08:30,113.0,Approved
2016-06-02 09:00,117.6,Approved
2016-06-02 09:30,115.2,Approved
2016-06-02 10:00,116.0,Approved
2016-06-02 10:30,112.8,Approved
2016-06-02 11:00,115.1,Approved
2016-06-02 11:30,114.0,Approved
2016-06-02 12:00,114.3,Approved
2016-06-02 12:30,115.8,Approved
2016-06-02 13:00,114.7,Approved
2016-06-02 13:30,113.8,Approved
2016-06-02 14:00,111.9,Approved
2016-06-02 14:30,113.1,Approved
2016-06-02 15:00,113.5,Approved
2016-06-02 15:30,113.5,Approved
2016-06-02 16:00,112.6,Approved
2016-06-02 16:30,117.8,Approved
2016-06-02 17:00,114.3,Approved
2016-06-02 17:30,112.9,Approved
2016-06-02 18:00,113.6,Approved
2016-06-02 18:30,116.1,Approved
2016-06-02 19:00,114.8,Approved
2016-06-02 19:30,114.1,Approved
2016-06-02 20:00,112.2,Approved
2016-06-02 20:30,112.3,Approved
2016-06-02 21:00,111.9,Approved
2016-06-02 21:30,111.5,Approved
2016-06-02 22:00,113.8,Approved
2016-06-02 22:30,113.4,Approved
2016-06-02 23:00,111.6,Approved
2016-06-02 23:30,114.1,Approved
2016-06-03 00:00,110.1,Approved
2016-06-03 00:30,110.4,Approved
2016-06-03 01:00,115.2,Approved
2016-06-03 01:30,111.9,Approved
2016-06-03 02:00,111.4,Approved
2016-06-03 02:30,110.9,Approved
2016-06-03 03:00,111.0,Approved
2016-06-03 03:30,112.8,Approved
2016-06-03 04:00,111.3,Approved
2016-06-03 04:30,108.7,Approved
2016-06-03 05:00,113.7,Approved
2016-06-03 05:30,109.9,Approved
2016-06-03 06:00,111.4,Approved
2016-06-03 06:30,113.4,Approved
2016-06-03 07:00,110.9,Approved
2016-06-03 07:30,107.5,Approved
2016-06-03 08:00,109.7,Approved
2016-06-03 08:30,112.3,Approved
2016-06-03 09:00,108.6,Approved
