"Lolo Creek abv Sleeman Creek", 76HB 09500
Timestamp,Discharge.discharge@76HB 09500 (ft^3/s),Approval Name
2016-08-12 00:00,0.000,Approved
2016-08-12 17:00,40.60,Approved
2016-08-12 17:15,40.40,Approved
2016-08-12 17:30,40.21,Approved
2016-08-12 17:45,40.02,Approved
2016-08-12 18:00,39.82,Approved
2016-08-12 18:15,39.91,Approved
2016-08-12 18:30,39.99,Approved
2016-08-12 18:45,40.07,Approved
2016-08-12 19:00,40.15,Approved
2016-08-12 19:15,40.15,Approved
2016-08-12 19:30,40.15,Approved
2016-08-12 19:45,40.15,Approved
2016-08-12 20:00,40.15,Approved
2016-08-12 20:15,40.02,Approved
2016-08-12 20:30,39.88,Approved
2016-08-12 20:45,39.74,Approved
2016-08-12 21:00,39.60,Approved
2016-08-12 21:15,39.63,Approved
2016-08-12 21:30,39.66,Approved
2016-08-12 21:45,39.69,Approved
2016-08-12 22:00,39.71,Approved
2016-08-12 22:15,39.66,Approved
2016-08-12 22:30,39.60,Approved
2016-08-12 22:45,39.55,Approved
2016-08-12 23:00,39.50,Approved
2016-08-12 23:15,39.74,Approved
2016-08-12 23:30,39.99,Approved
2016-08-12 23:45,40.24,Approved
2016-08-13 00:00,40.49,Approved
2016-08-13 00:15,40.35,Approved
2016-08-13 00:30,40.21,Approved
2016-08-13 00:45,40.07,Approved
2016-08-13 01:00,39.93,Approved
2016-08-13 01:15,40.02,Approved
2016-08-13 01:30,40.10,Approved
2016-08-13 01:45,40.18,Approved
2016-08-13 02:00,40.26,Approved
2016-08-13 02:15,40.37,Approved
2016-08-13 02:30,40.49,Approved
2016-08-13 02:45,40.60,Approved
2016-08-13 03:00,40.71,Approved
2016-08-13 03:15,40.82,Approved
2016-08-13 03:30,40.93,Approved
2016-08-13 03:45,41.04,Approved
2016-08-13 04:00,41.15,Approved
2016-08-13 04:15,40.98,Approved
2016-08-13 04:30,40.82,Approved
2016-08-13 04:45,40.65,Approved
2016-08-13 05:00,40.49,Approved
2016-08-13 05:15,40.65,Approved
2016-08-13 05:30,40.82,Approved
2016-08-13 05:45,40.98,Approved
2016-08-13 06:00,41.15,Approved
