"Lolo Creek below Highway 93", 76HB 09600
Timestamp,Discharge.discharge@76HB 09600 (ft^3/s),Approval Name
2016-01-27 05:45,40.95,Approved
2016-01-27 06:00,40.95,Approved
2016-01-27 06:15,42.20,Approved
2016-01-27 06:30,42.20,Approved
2016-01-27 06:45,42.20,Approved
2016-01-27 07:00,42.20,Approved
2016-01-27 07:15,42.20,Approved
2016-01-27 07:30,43.47,Approved
2016-01-27 07:45,43.47,Approved
2016-01-27 08:00,43.47,Approved
2016-01-27 08:15,43.47,Approved
2016-01-27 08:30,44.76,Approved
2016-01-27 08:45,44.76,Approved
2016-01-27 09:00,44.76,Approved
2016-01-27 09:15,44.76,Approved
2016-01-27 09:30,46.07,Approved
2016-01-27 09:45,46.07,Approved
2016-01-27 10:00,46.07,Approved
2016-01-27 10:15,46.07,Approved
2016-01-27 10:30,46.07,Approved
2016-01-27 10:45,47.41,Approved
2016-01-27 11:00,47.41,Approved
2016-01-27 11:15,48.77,Approved
2016-01-27 11:30,48.77,Approved
2016-01-27 11:45,48.77,Approved
2016-01-27 12:00,48.77,Approved
2016-01-27 12:15,48.77,Approved
2016-01-27 12:30,48.77,Approved
2016-01-27 12:45,48.77,Approved
2016-01-27 13:00,48.77,Approved
2016-01-27 13:15,48.77,Approved
2016-01-27 13:30,48.77,Approved
2016-01-27 13:45,48.77,Approved
2016-01-27 14:00,48.77,Approved
2016-01-27 14:15,48.77,Approved
2016-01-27 14:30,48.77,Approved
2016-01-27 14:45,48.77,Approved
2016-01-27 15:00,48.77,Approved
2016-01-27 15:15,47.41,Approved
2016-01-27 15:30,48.77,Approved
2016-01-27 15:45,48.77,Approved
2016-01-27 16:00,48.77,Approved
2016-01-27 16:15,48.77,Approved
2016-01-27 16:30,48.77,Approved
2016-01-27 16:45,47.41,Approved
2016-01-27 17:00,47.41,Approved
2016-01-27 17:15,48.77,Approved
2016-01-27 17:30,47.41,Approved
2016-01-27 17:45,47.41,Approved
2016-01-27 18:00,46.07,Approved
2016-01-27 18:15,46.07,Approved
2016-01-27 18:30,46.07,Approved
2016-01-27 18:45,46.07,Approved
2016-01-27 19:00,46.07,Approved
2016-01-27 19:15,46.07,Approved
2016-01-27 19:30,46.07,Approved
2016-01-27 19:45,44.76,Approved
2016-01-27 20:00,46.07,Approved
2016-01-27 20:15,44.76,Approved
2016-01-27 20:30,44.76,Approved
2016-01-27 20:45,44.76,Approved
2016-01-27 21:00,44.76,Approved
2016-01-27 21:15,44.76,Approved
2016-01-27 21:30,44.76,Approved
2016-01-27 21:45,44.76,Approved
2016-01-27 22:00,44.76,Approved
2016-01-27 22:15,44.76,Approved
2016-01-27 22:30,44.76,Approved
2016-01-27 22:45,44.76,Approved
2016-01-27 23:00,44.76,Approved
2016-01-27 23:15,44.76,Approved
2016-01-27 23:30,44.76,Approved
2016-01-27 23:45,44.76,Approved
2016-01-28 00:00,44.76,Approved
2016-01-28 00:15,43.47,Approved
2016-01-28 00:30,44.76,Approved
2016-01-28 00:45,43.47,Approved
2016-01-28 01:00,43.47,Approved
2016-01-28 01:15,43.47,Approved
2016-01-28 01:30,43.47,Approved
2016-01-28 01:45,43.47,Approved
2016-01-28 02:00,43.47,Approved
2016-01-28 02:15,43.47,Approved
2016-01-28 02:30,43.47,Approved
2016-01-28 02:45,43.47,Approved
2016-01-28 03:00,43.47,Approved
2016-01-28 03:15,43.47,Approved
2016-01-28 03:30,43.47,Approved
2016-01-28 03:45,43.47,Approved
2016-01-28 04:00,43.47,Approved
2016-01-28 04:15,43.47,Approved
2016-01-28 04:30,43.47,Approved
2016-01-28 04:45,43.47,Approved
2016-01-28 05:00,43.47,Approved
2016-01-28 05:15,43.47,Approved
2016-01-28 05:30,43.47,Approved
2016-01-28 05:45,43.47,Approved
2016-01-28 06:00,43.47,Approved
2016-01-28 06:15,43.47,Approved
2016-01-28 06:30,43.47,Approved
2016-01-28 06:45,43.47,Approved
2016-01-28 07:00,43.47,Approved
2016-01-28 07:15,43.47,Approved
2016-01-28 07:30,43.47,Approved
2016-01-28 07:45,43.47,Approved
2016-01-28 08:00,43.47,Approved
2016-01-28 08:15,43.47,Approved
2016-01-28 08:30,43.47,Approved
2016-01-28 08:45,43.47,Approved
2016-01-28 09:00,43.47,Approved
2016-01-28 09:15,43.47,Approved
2016-01-28 09:30,43.47,Approved
2016-01-28 09:45,43.47,Approved
2016-01-28 10:00,43.47,Approved
2016-01-28 10:15,43.47,Approved
2016-01-28 10:30,43.47,Approved
2016-01-28 10:45,43.47,Approved
2016-01-28 11:00,44.76,Approved
2016-01-28 11:15,44.76,Approved
2016-01-28 11:30,43.47,Approved
2016-01-28 11:45,43.47,Approved
2016-01-28 12:00,43.47,Approved
2016-01-28 12:15,43.47,Approved
2016-01-28 12:30,43.47,Approved
2016-01-28 12:45,43.47,Approved
2016-01-28 13:00,43.47,Approved
2016-01-28 13:15,43.47,Approved
2016-01-28 13:30,43.47,Approved
2016-01-28 13:45,43.47,Approved
2016-01-28 14:00,43.47,Approved
2016-01-28 14:15,43.47,Approved
2016-01-28 14:30,43.47,Approved
2016-01-28 14:45,43.47,Approved
2016-01-28 15:00,43.47,Approved
2016-01-28 15:15,43.47,Approved
2016-01-28 15:30,43.47,Approved
2016-01-28 15:45,43.47,Approved
2016-01-28 16:00,43.47,Approved
2016-01-28 16:15,44.76,Approved
2016-01-28 16:30,44.76,Approved
2016-01-28 16:45,44.76,Approved
2016-01-28 17:00,44.76,Approved
2016-01-28 17:15,44.76,Approved
2016-01-28 17:30,44.76,Approved
2016-01-28 17:45,44.76,Approved
2016-01-28 18:00,44.76,Approved
2016-01-28 18:15,44.76,Approved
2016-01-28 18:30,44.76,Approved
2016-01-28 18:45,44.76,Approved
2016-01-28 19:00,44.76,Approved
2016-01-28 19:15,44.76,Approved
2016-01-28 19:30,44.76,Approved
2016-01-28 19:45,44.76,Approved
2016-01-28 20:00,46.07,Approved
2016-01-28 20:15,46.07,Approved
2016-01-28 20:30,46.07,Approved
2016-01-28 20:45,46.07,Approved
2016-01-28 21:00,46.07,Approved
2016-01-28 21:15,46.07,Approved
2016-01-28 21:30,46.07,Approved
2016-01-28 21:45,46.07,Approved
2016-01-28 22:00,46.07,Approved
2016-01-28 22:15,46.07,Approved
2016-01-28 22:30,46.07,Approved
2016-01-28 22:45,46.07,Approved
2016-01-28 23:00,47.41,Approved
2016-01-28 23:15,46.07,Approved
2016-01-28 23:30,47.41,Approved
2016-01-28 23:45,47.41,Approved
2016-01-29 00:00,47.41,Approved
2016-01-29 00:15,47.41,Approved
2016-01-29 00:30,47.41,Approved
2016-01-29 00:45,47.41,Approved
2016-01-29 01:00,47.41,Approved
2016-01-29 01:15,47.41,Approved
2016-01-29 01:30,47.41,Approved
2016-01-29 01:45,47.41,Approved
2016-01-29 02:00,47.41,Approved
2016-01-29 02:15,47.41,Approved
2016-01-29 02:30,47.41,Approved
2016-01-29 02:45,47.41,Approved
2016-01-29 03:00,47.41,Approved
2016-01-29 03:15,47.41,Approved
2016-01-29 03:30,47.41,Approved
2016-01-29 03:45,47.41,Approved
2016-01-29 04:00,47.41,Approved
2016-01-29 04:15,47.41,Approved
2016-01-29 04:30,47.41,Approved
2016-01-29 04:45,47.41,Approved
2016-01-29 05:00,47.41,Approved
2016-01-29 05:15,48.77,Approved
2016-01-29 05:30,47.41,Approved
2016-01-29 05:45,47.41,Approved
2016-01-29 06:00,47.41,Approved
2016-01-29 06:15,47.41,Approved
2016-01-29 06:30,48.77,Approved
2016-01-29 06:45,47.41,Approved
2016-01-29 07:00,48.77,Approved
2016-01-29 07:15,48.77,Approved
2016-01-29 07:30,48.77,Approved
2016-01-29 07:45,48.77,Approved
2016-01-29 08:00,48.77,Approved
2016-01-29 08:15,48.77,Approved
2016-01-29 08:30,48.77,Approved
2016-01-29 08:45,48.77,Approved
2016-01-29 09:00,48.77,Approved
2016-01-29 09:15,48.77,Approved
2016-01-29 09:30,48.77,Approved
2016-01-29 09:45,48.77,Approved
2016-01-29 10:00,48.77,Approved
2016-01-29 10:15,48.77,Approved
2016-01-29 10:30,48.77,Approved
2016-01-29 10:45,48.77,Approved
2016-01-29 11:00,48.77,Approved
2016-01-29 11:15,48.77,Approved
2016-01-29 11:30,50.15,Approved
2016-01-29 11:45,50.15,Approved
2016-01-29 12:00,50.15,Approved
2016-01-29 12:15,50.15,Approved
2016-01-29 12:30,50.15,Approved
2016-01-29 12:45,50.15,Approved
2016-01-29 13:00,50.15,Approved
2016-01-29 13:15,50.15,Approved
2016-01-29 13:30,50.15,Approved
2016-01-29 13:45,50.15,Approved
2016-01-29 14:00,50.15,Approved
2016-01-29 14:15,50.15,Approved
2016-01-29 14:30,50.15,Approved
2016-01-29 14:45,50.15,Approved
2016-01-29 15:00,50.15,Approved
2016-01-29 15:15,51.56,Approved
2016-01-29 15:30,51.56,Approved
2016-01-29 15:45,51.56,Approved
2016-01-29 16:00,51.56,Approved
2016-01-29 16:15,51.56,Approved
2016-01-29 16:30,51.56,Approved
2016-01-29 16:45,51.56,Approved
2016-01-29 17:00,51.56,Approved
2016-01-29 17:15,51.56,Approved
2016-01-29 17:30,52.98,Approved
2016-01-29 17:45,52.98,Approved
2016-01-29 18:00,52.98,Approved
2016-01-29 18:15,52.98,Approved
2016-01-29 18:30,52.98,Approved
2016-01-29 18:45,52.98,Approved
2016-01-29 19:00,54.43,Approved
2016-01-29 19:15,54.43,Approved
2016-01-29 19:30,54.43,Approved
2016-01-29 19:45,54.43,Approved
2016-01-29 20:00,54.43,Approved
2016-01-29 20:15,54.43,Approved
2016-01-29 20:30,54.43,Approved
2016-01-29 20:45,54.43,Approved
2016-01-29 21:00,54.43,Approved
2016-01-29 21:15,55.90,Approved
2016-01-29 21:30,55.90,Approved
2016-01-29 21:45,54.43,Approved
2016-01-29 22:00,55.90,Approved
2016-01-29 22:15,55.90,Approved
2016-01-29 22:30,55.90,Approved
2016-01-29 22:45,55.90,Approved
2016-01-29 23:00,55.90,Approved
2016-01-29 23:15,55.90,Approved
2016-01-29 23:30,55.90,Approved
2016-01-29 23:45,55.90,Approved
2016-01-30 00:00,54.43,Approved
2016-01-30 00:15,54.43,Approved
2016-01-30 00:30,54.43,Approved
2016-01-30 00:45,54.43,Approved
2016-01-30 01:00,54.43,Approved
2016-01-30 01:15,54.43,Approved
2016-01-30 01:30,54.43,Approved
2016-01-30 01:45,54.43,Approved
2016-01-30 02:00,54.43,Approved
2016-01-30 02:15,54.43,Approved
2016-01-30 02:30,54.43,Approved
2016-01-30 02:45,54.43,Approved
2016-01-30 03:00,54.43,Approved
2016-01-30 03:15,54.43,Approved
2016-01-30 03:30,54.43,Approved
2016-01-30 03:45,54.43,Approved
2016-01-30 04:00,54.43,Approved
2016-01-30 04:15,54.43,Approved
2016-01-30 04:30,54.43,Approved
2016-01-30 04:45,52.98,Approved
2016-01-30 05:00,54.43,Approved
2016-01-30 05:15,54.43,Approved
2016-01-30 05:30,52.98,Approved
2016-01-30 05:45,52.98,Approved
2016-01-30 06:00,52.98,Approved
2016-01-30 06:15,52.98,Approved
2016-01-30 06:30,52.98,Approved
2016-01-30 06:45,52.98,Approved
2016-01-30 07:00,52.98,Approved
2016-01-30 07:15,52.98,Approved
2016-01-30 07:30,51.56,Approved
2016-01-30 07:45,51.56,Approved
2016-01-30 08:00,50.15,Approved
2016-01-30 08:15,50.15,Approved
2016-01-30 08:30,50.15,Approved
2016-01-30 08:45,50.15,Approved
2016-01-30 09:00,50.15,Approved
2016-01-30 09:15,50.15,Approved
2016-01-30 09:30,51.56,Approved
2016-01-30 09:45,51.56,Approved
2016-01-30 10:00,51.56,Approved
2016-01-30 10:15,51.56,Approved
2016-01-30 10:30,51.56,Approved
2016-01-30 10:45,51.56,Approved
2016-01-30 11:00,51.56,Approved
2016-01-30 11:15,51.56,Approved
2016-01-30 11:30,51.56,Approved
2016-01-30 11:45,51.56,Approved
2016-01-30 12:00,51.56,Approved
2016-01-30 12:15,51.56,Approved
2016-01-30 12:30,51.56,Approved
2016-01-30 12:45,51.56,Approved
2016-01-30 13:00,51.56,Approved
2016-01-30 13:15,51.56,Approved
2016-01-30 13:30,51.56,Approved
2016-01-30 13:45,52.98,Approved
2016-01-30 14:00,52.98,Approved
2016-01-30 14:15,52.98,Approved
2016-01-30 14:30,52.98,Approved
2016-01-30 14:45,52.98,Approved
2016-01-30 15:00,52.98,Approved
2016-01-30 15:15,51.56,Approved
2016-01-30 15:30,51.56,Approved
2016-01-30 15:45,51.56,Approved
2016-01-30 16:00,51.56,Approved
2016-01-30 16:15,51.56,Approved
2016-01-30 16:30,51.56,Approved
2016-01-30 16:45,51.56,Approved
2016-01-30 17:00,51.56,Approved
2016-01-30 17:15,51.56,Approved
2016-01-30 17:30,51.56,Approved
2016-01-30 17:45,51.56,Approved
2016-01-30 18:00,51.56,Approved
2016-01-30 18:15,51.56,Approved
2016-01-30 18:30,51.56,Approved
2016-01-30 18:45,51.56,Approved
2016-01-30 19:00,51.56,Approved
2016-01-30 19:15,51.56,Approved
2016-01-30 19:30,51.56,Approved
2016-01-30 19:45,51.56,Approved
2016-01-30 20:00,51.56,Approved
2016-01-30 20:15,51.56,Approved
2016-01-30 20:30,51.56,Approved
2016-01-30 20:45,51.56,Approved
2016-01-30 21:00,50.15,Approved
2016-01-30 21:15,50.15,Approved
2016-01-30 21:30,50.15,Approved
2016-01-30 21:45,50.15,Approved
2016-01-30 22:00,50.15,Approved
2016-01-30 22:15,50.15,Approved
2016-01-30 22:30,50.15,Approved
2016-01-30 22:45,50.15,Approved
2016-01-30 23:00,50.15,Approved
2016-01-30 23:15,50.15,Approved
2016-01-30 23:30,50.15,Approved
2016-01-30 23:45,50.15,Approved
2016-01-31 00:00,50.15,Approved
2016-01-31 00:15,50.15,Approved
2016-01-31 00:30,50.15,Approved
2016-01-31 00:45,50.15,Approved
2016-01-31 01:00,50.15,Approved
2016-01-31 01:15,50.15,Approved
2016-01-31 01:30,50.15,Approved
2016-01-31 01:45,50.15,Approved
2016-01-31 02:00,50.15,Approved
2016-01-31 02:15,48.77,Approved
2016-01-31 02:30,50.15,Approved
2016-01-31 02:45,48.77,Approved
2016-01-31 03:00,50.15,Approved
2016-01-31 03:15,48.77,Approved
2016-01-31 03:30,48.77,Approved
2016-01-31 03:45,48.77,Approved
2016-01-31 04:00,48.77,Approved
2016-01-31 04:15,48.77,Approved
2016-01-31 04:30,48.77,Approved
2016-01-31 04:45,47.41,Approved
2016-01-31 05:00,46.07,Approved
2016-01-31 05:15,44.76,Approved
2016-01-31 05:30,43.47,Approved
2016-01-31 05:45,42.20,Approved
2016-01-31 06:00,42.20,Approved
2016-01-31 06:15,40.95,Approved
2016-01-31 06:30,40.95,Approved
2016-01-31 06:45,42.20,Approved
2016-01-31 07:00,42.20,Approved
2016-01-31 07:15,43.47,Approved
2016-01-31 07:30,43.47,Approved
2016-01-31 07:45,44.76,Approved
2016-01-31 08:00,44.76,Approved
2016-01-31 08:15,46.07,Approved
2016-01-31 08:30,46.07,Approved
2016-01-31 08:45,47.41,Approved
2016-01-31 09:00,47.41,Approved
2016-01-31 09:15,47.41,Approved
2016-01-31 09:30,46.07,Approved
2016-01-31 09:45,46.07,Approved
2016-01-31 10:00,46.07,Approved
2016-01-31 10:15,47.41,Approved
2016-01-31 10:30,47.41,Approved
2016-01-31 10:45,47.41,Approved
2016-01-31 11:00,47.41,Approved
2016-01-31 11:15,47.41,Approved
2016-01-31 11:30,48.77,Approved
2016-01-31 11:45,48.77,Approved
2016-01-31 12:00,48.77,Approved
2016-01-31 12:15,48.77,Approved
2016-01-31 12:30,48.77,Approved
2016-01-31 12:45,48.77,Approved
2016-01-31 13:00,48.77,Approved
2016-01-31 13:15,48.77,Approved
2016-01-31 13:30,50.15,Approved
2016-01-31 13:45,50.15,Approved
2016-01-31 14:00,50.15,Approved
2016-01-31 14:15,51.56,Approved
2016-01-31 14:30,51.56,Approved
2016-01-31 14:45,51.56,Approved
2016-01-31 15:00,51.56,Approved
2016-01-31 15:15,51.56,Approved
2016-01-31 15:30,50.15,Approved
2016-01-31 15:45,50.15,Approved
2016-01-31 16:00,48.77,Approved
2016-01-31 16:15,47.41,Approved
2016-01-31 16:30,47.41,Approved
2016-01-31 16:45,46.07,Approved
2016-01-31 17:00,47.41,Approved
2016-01-31 17:15,51.56,Approved
2016-01-31 17:30,55.90,Approved
2016-01-31 17:45,55.90,Approved
2016-01-31 18:00,54.43,Approved
2016-01-31 18:15,52.98,Approved
2016-01-31 18:30,51.56,Approved
2016-01-31 18:45,50.15,Approved
2016-01-31 19:00,48.77,Approved
2016-01-31 19:15,48.77,Approved
2016-01-31 19:30,48.77,Approved
2016-01-31 19:45,48.77,Approved
2016-01-31 20:00,47.41,Approved
2016-01-31 20:15,47.41,Approved
2016-01-31 20:30,47.41,Approved
2016-01-31 20:45,47.41,Approved
2016-01-31 21:00,47.41,Approved
2016-01-31 21:15,47.41,Approved
2016-01-31 21:30,47.41,Approved
2016-01-31 21:45,47.41,Approved
2016-01-31 22:00,46.07,Approved
2016-01-31 22:15,46.07,Approved
2016-01-31 22:30,46.07,Approved
2016-01-31 22:45,46.07,Approved
2016-01-31 23:00,46.07,Approved
2016-01-31 23:15,46.07,Approved
2016-01-31 23:30,44.76,Approved
2016-01-31 23:45,44.76,Approved
2016-02-01 00:00,44.76,Approved
2016-02-01 00:15,44.76,Approved
2016-02-01 00:30,44.76,Approved
2016-02-01 00:45,44.76,Approved
2016-02-01 01:00,43.47,Approved
2016-02-01 01:15,43.47,Approved
2016-02-01 01:30,42.20,Approved
2016-02-01 01:45,42.20,Approved
2016-02-01 02:00,40.95,Approved
2016-02-01 02:15,42.20,Approved
2016-02-01 02:30,42.20,Approved
2016-02-01 02:45,42.20,Approved
2016-02-01 03:00,42.20,Approved
2016-02-01 03:15,42.20,Approved
2016-02-01 03:30,42.20,Approved
2016-02-01 03:45,42.20,Approved
2016-02-01 04:00,43.47,Approved
2016-02-01 04:15,43.47,Approved
2016-02-01 04:30,44.76,Approved
2016-02-01 04:45,44.76,Approved
2016-02-01 05:00,46.07,Approved
2016-02-01 05:15,46.07,Approved
2016-02-01 05:30,47.41,Approved
2016-02-01 05:45,48.77,Approved
2016-02-01 06:00,50.15,Approved
2016-02-01 06:15,50.15,Approved
2016-02-01 06:30,54.43,Approved
2016-02-01 06:45,54.43,Approved
2016-02-01 07:00,55.90,Approved
2016-02-01 07:15,54.43,Approved
2016-02-01 07:30,55.90,Approved
2016-02-01 07:45,55.90,Approved
2016-02-01 08:00,55.90,Approved
2016-02-01 08:15,55.90,Approved
2016-02-01 08:30,55.90,Approved
2016-02-01 08:45,55.90,Approved
2016-02-01 09:00,55.90,Approved
2016-02-01 09:15,57.40,Approved
2016-02-01 09:30,57.40,Approved
2016-02-01 09:45,55.90,Approved
2016-02-01 10:00,52.98,Approved
2016-02-01 10:15,50.15,Approved
2016-02-01 10:30,48.77,Approved
2016-02-01 10:45,48.77,Approved
2016-02-01 11:00,48.77,Approved
2016-02-01 11:15,48.77,Approved
2016-02-01 11:30,48.77,Approved
2016-02-01 11:45,48.77,Approved
2016-02-01 12:00,48.77,Approved
2016-02-01 12:15,48.77,Approved
2016-02-01 12:30,48.77,Approved
2016-02-01 12:45,48.77,Approved
2016-02-01 13:00,47.41,Approved
